Category,PSA02,Name,Display Name,Brand,Custom,Hidden,Specs,Downloads,Features,Images
Software Solutions,attendance,Attendance,Attendance Software,Smart Office Payroll,no,no,0,0,0,0
Software Solutions,payroll,Payroll,Payroll Software,Smart Office Payroll,no,no,0,0,0,0
Software Solutions,hrms,HRMS,HRMS,Smart Office Payroll,no,no,0,0,0,0
Fingerprint,N-BioAccess,N-Bio Access,N-Bio Access,Biomax,yes,no,0,0,0,0
Face Recognition,N-BM22-Face,N-BM22 Face,N-BM22 Face,Biomax,yes,no,11,2,6,0
Face Recognition,N-Bio101W,N-Bio 101 W,N-Bio 101 W,Biomax,yes,no,10,2,6,0
Fingerprint,VEGA+W+POE,VEGA+W+POE,VEGA+W+POE,eSSL,yes,no,10,1,5,0
Fingerprint,K40_Pro,K40 Pro,K40 Pro,ZKTeco,yes,no,0,0,0,2
Fingerprint,K45_Pro,K45 Pro,K45 Pro,ZKTeco,yes,no,0,2,0,1
Fingerprint,IN01A,IN01-A,IN01-A,ZKTeco,yes,no,0,0,0,0
Face Recognition,MB30,MB30,MB30,ZKTeco,yes,no,0,0,0,0
Face Recognition,MB360,MB360,MB360,ZKTeco,yes,no,0,0,0,0
Face Recognition,Mini_AC,Mini AC,Mini AC,ZKTeco,yes,no,0,0,0,0
Face Recognition,Speed_Face_V5L,Speed Face V5L,Speed Face V5L,ZKTeco,yes,no,0,0,0,0
Face Recognition,Face_Depot_7C,Face Depot 7C,Face Depot 7C,ZKTeco,yes,no,0,0,0,0
Face Recognition,D3,D3,D3,ZKTeco,yes,no,0,0,0,0
Face Recognition,Mini_AC_Plus,Mini AC Plus,Mini AC Plus,ZKTeco,yes,no,0,0,0,0
Face Recognition,Speed_Face_M4,Speed Face M4,Speed Face M4,ZKTeco,yes,no,0,0,0,0
Fingerprint,N_E90_Pro,NE90 Pro,NE90 Pro,Biomax,yes,no,0,0,0,0
Fingerprint,N-BM22,N-BM22,N-BM22,Biomax,yes,no,0,0,0,0
Fingerprint,N-Access10_Pro,N-Access10 Pro,N-Access10 Pro,Biomax,yes,no,0,0,0,0
Fingerprint,N-FR12,N-FR12,N-FR12,Biomax,yes,no,0,0,0,0
Face Recognition,N-BM70-W-Pro,N-BM70 W Pro,N-BM70 W Pro,Biomax,yes,no,0,0,0,0
Face Recognition,Indigo_Face6,Indigo Face 6,Indigo Face 6,Biomax,yes,no,0,0,0,0
Face Recognition,Indigo_Face8_Pro,Indigo Face 8 Pro,Indigo Face 8 Pro,Biomax,yes,no,0,0,0,0
Face Recognition,N-F22,N-F22,N-F22,Biomax,yes,no,0,0,0,0
Face Recognition,Multibio-500,Multibio 500,Multibio 500,Biomax,yes,no,0,0,0,0
Face Recognition,Multibio-300,Multibio 300,Multibio 300,Biomax,yes,no,0,0,0,0
RFID Readers,SA228,SA 228,SA 228,Biomax,yes,no,0,0,0,0
RFID Readers,KR26E,KR 26E,KR 26E,Biomax,yes,no,0,0,0,0
RFID Readers,KR5E,KR 5E,KR 5E,Biomax,yes,no,0,0,0,0
Fingerprint Door Lock,FL400,FL 400,FL300,eSSL,no,no,0,0,0,0
Fingerprint Door Lock,FL500,FL 500,FL 500,eSSL,no,no,0,0,0,0
Fingerprint Door Lock,FL600,FL 600,FL 600,eSSL,no,no,0,0,0,0
Fingerprint Door Lock,FL600SS,FL 600 SS,FL 600 SS,eSSL,no,no,0,0,0,0
Fingerprint Door Lock,FL700,FL 700,FL 700,eSSL,no,no,0,0,0,0
Fingerprint Door Lock,FL900,FL 900,FL 900,eSSL,no,no,0,0,0,0
Flap Barriers,FB-E-2216,FB-E-2216,FB-E-2216,eSSL,no,no,0,0,0,0
Swing Barriers,SB-ES-3216,SB-ES-3216,SB-ES-3216,eSSL,no,no,0,0,0,0
Swing Barriers,SB-ES-3216-2,SB-ES-3216-2,SB-ES-3216-2,eSSL,no,no,0,0,0,0
Swing Barriers,SB-ES-3218,SB-ES-3218,SB-ES-3218,eSSL,no,no,0,0,0,0
Swing Barriers,SB-ES-3012,SB-ES-3012,SB-ES-3012,eSSL,no,no,0,0,0,0
Swing Barriers,SB-ES-3012-2,SB-ES-3012-2,SB-ES-3012-2,eSSL,no,no,0,0,0,0
Swing Barriers,SB-SPL-310,SB-SPL-310,SB-SPL-310,eSSL,no,no,0,0,0,0
Swing Barriers,SB-TL-129,SB-TL-129,SB-TL-129,eSSL,no,no,0,0,0,0
Swing Barriers,SB-E-315,SB-E-315,SB-E-315,eSSL,no,no,0,0,0,0
Hotel Lock,HL400,HL 400,HL 400,eSSL,no,no,0,0,0,0
Hotel Lock,HL500,HL 500,HL 500,eSSL,no,no,0,0,0,0
Hotel Lock,HL600,HL 600,HL 600,eSSL,no,no,0,0,0,0
Hotel Lock,HL700,HL 700,HL 700,eSSL,no,no,0,0,0,0
Hotel Lock,HLSW-MF-Grey,HL SW MF Grey,HL SW MF Grey,eSSL,no,no,0,0,0,0
Hotel Lock,HLSW-MF-Wite,HL SW MF White,HL SW MF White,eSSL,no,no,0,0,0,0
Hotel Lock,FE-1,FE 1,FE 1,eSSL,no,no,0,0,0,0
Hotel Lock,FEK-RW-69-02,FEK RW 69 02,FEK RW 69 02,eSSL,no,no,0,0,0,0
RFID Readers,UR10R-1F,UR 10 R-1F,UR 10 R-1F,eSSL,no,no,0,0,0,0
RFID Readers,U11D,U11-D,U11-D,eSSL,no,no,0,0,0,0
RFID Readers,U12I,U12-I,U12-I,eSSL,no,no,0,0,0,0
RFID Readers,U14,U14 UHF Reader,U14 UHF Reader,eSSL,no,no,0,0,0,0
Safe Lock,SAFE-50,SAFE-50,SAFE-50,eSSL,no,no,0,0,0,0
Safe Lock,SAFE-70,SAFE-70,SAFE-70,eSSL,no,no,0,0,0,0
Safe Lock,SAFE-200,SAFE-200,SAFE-200,eSSL,no,no,0,0,0,0
Safe Lock,SAFE-20,SAFE-20,SAFE-20,eSSL,no,no,0,0,0,0
Safe Lock,SAFE-25,SAFE-25,SAFE-25,eSSL,no,no,0,0,0,0
Safe Lock,SAFE-36,SAFE-36,SAFE-36,eSSL,no,no,0,0,0,0
Boom Barrier,BG180-BDC,BG 180 BDC,BG 180 BDC,eSSL,no,no,0,0,0,0
Boom Barrier,BGL-100,BGL-100,BGL-100,eSSL,no,no,0,0,0,0
Boom Barrier,Photo_Cell_PSA26,Photo Cell Wired,Photo Cell Wired,eSSL,no,no,0,0,0,0
Boom Barrier,Photo_Cell_PSA122,Photo Cell Wireless,Photo Cell Wireless,eSSL,no,no,0,0,0,0
Boom Barrier,PSA02,Single Channel Loop Detector,Single Channel Loop Detector,eSSL,no,no,0,0,0,0
Boom Barrier,PSA02-02,Dual Channel Loop Detector,Dual Channel Loop Detector,eSSL,no,no,0,0,0,0
Boom Barrier,SW01,Manual Switch,Manual Switch,eSSL,no,no,0,0,0,0
